Feature,Category,CoveragePct
initial_jobless_claims,Macro,0.0
fred_macro_combined_ICSA,Macro,0.0
fred_macro_combined_CCSA,Macro,0.0
continuing_claims,Macro,0.0
fred_macro_combined_EXHOSLUSM495S,Macro,0.1
existing_home_sales,Macro,0.1
HONA,Equity,0.25
FDXF,Equity,0.45
fred_macro_combined_GDPC1,Macro,0.81
real_gdp,Macro,0.81
fred_macro_combined_GDP,Macro,0.81
gdp_nominal,Macro,0.81
fred_macro_combined_PPIFES,Macro,1.87
core_ppi,Macro,1.87
Q,Equity,2.62
fred_macro_combined_CPIAUCSL,Macro,3.01
cpi,Macro,3.01
core_cpi_ex_food_energy,Macro,3.01
fred_macro_combined_CPILFESL,Macro,3.01
fred_macro_combined_UNRATE,Macro,3.03
fred_macro_combined_PPIACO,Macro,3.03
fred_macro_combined_HOUST,Macro,3.03
industrial_production_index,Macro,3.03
fred_macro_combined_RSAFS,Macro,3.03
fred_macro_combined_PCEPI,Macro,3.03
housing_starts,Macro,3.03
pce_price_index,Macro,3.03
unemployment_rate,Macro,3.03
m2_money_supply,Macro,3.03
new_home_sales,Macro,3.03
ism_manufacturing_pmi_proxy_new_orders,Macro,3.03
labor_force_participation_rate,Macro,3.03
fred_macro_combined_HSN1F,Macro,3.03
retail_sales,Macro,3.03
capacity_utilization,Macro,3.03
building_permits,Macro,3.03
fred_macro_combined_TCU,Macro,3.03
fred_macro_combined_PERMIT,Macro,3.03
core_pce_price_index,Macro,3.03
fred_macro_combined_PCEPILFE,Macro,3.03
fred_macro_combined_AMTMNO,Macro,3.03
fred_macro_combined_INDPRO,Macro,3.03
ppi_all_commodities,Macro,3.03
fred_macro_combined_M2SL,Macro,3.03
fred_macro_combined_CIVPART,Macro,3.03
fred_macro_combined_PAYEMS,Macro,3.04
nber_recession_indicator_usrec,Macro,3.04
fred_macro_combined_USREC,Macro,3.04
nonfarm_payrolls,Macro,3.04
SNDK,Equity,5.26
GEV,Equity,8.58
SOLV,Equity,8.59
VLTO,Equity,10.38
sp500_hourly_Close,Macro,10.95
fred_macro_combined_BAMLC0A0CM,Macro,11.26
corporate_bond_spread_ice_bofa_ig,Macro,11.26
fred_macro_combined_BAMLH0A0HYM2,Macro,11.28
high_yield_spread_ice_bofa,Macro,11.28
KVUE,Equity,11.95
GEHC,Equity,13.38
CEG,Equity,16.81
fred_macro_combined_WALCL,Macro,18.25
fed_total_assets_balance_sheet,Macro,18.25
csi_300_china_Close,Macro,18.61
HOOD,Equity,18.61
APP,Equity,19.71
COIN,Equity,19.72
EXE,Equity,20.37
ABNB,Equity,20.98
DASH,Equity,21.0
PLTR,Equity,21.73
CARR,Equity,23.76
OTIS,Equity,23.76
DDOG,Equity,25.63
CRWD,Equity,26.66
CTVA,Equity,26.84
UBER,Equity,26.99
DOW,Equity,27.53
FOX,Equity,27.61
FOXA,Equity,27.62
